ID товара,Наименование,Бренд,Актуальная Цена,Старая цена,Ссылка
Артикул: 420961,"Мороженое Золотой стандарт Пломбир натуральный контейнер, 475г",ЗОЛОТОЙ СТАНДАРТ,309,459,https://online.metro-cc.ru/products/plombir-zolotoj-standart-naturalnyj-kontejner-500g-bzmzh
Артикул: 128437,"RIOBA Сорбет малиновый, 75г",RIOBA,99.90,,https://online.metro-cc.ru/products/75g-sorbet-rioba-malinovyj
Артикул: 312474,"Мороженое Ekzo молочное арбуз-дыня, 520г",EKZO,479,,https://online.metro-cc.ru/products/ekzo-vedro-arbuz-dynya-520-gr
Артикул: 137188,"Сорбет Monterra Малина и клубника, 306г",MONTERRA,549,,https://online.metro-cc.ru/products/sorbet-monterra-malina-klubnika-306g
Артикул: 128228,"Мороженое Магнат Эскимо фисташка-малина, 70г",МАГНАТ,99.90,,https://online.metro-cc.ru/products/magnat-fistashka-malina-eskimo-70g-bzmzh
Артикул: 202688,"Мороженое Магнат Дабл шоколад, 310г",МАГНАТ,589,,https://online.metro-cc.ru/products/310g-morozhenoe-magnat-dabl-shokolad-bzmzh
Артикул: 202662,"Мороженое Магнат Дабл фисташка, 300г",МАГНАТ,589,,https://online.metro-cc.ru/products/300g-morozhenoe-magnat-dabl-fistashka-bzmzh
Артикул: 116780,"Мороженое M&M's сливочное с драже, 295г",M&M'S,499,,https://online.metro-cc.ru/products/295g-morozhenoe-m-m-039s-vederko-bzmzh
Артикул: 221106,"Мороженое Чистая Линия волшебный фонарь, 80г",ЧИСТАЯ ЛИНИЯ,89,145,https://online.metro-cc.ru/products/80g-morozhenoe-chistaya-liniya-volshebnyy-fonar-bzmzh
Артикул: 217596,"Мороженое Золотой стандарт черника в вафельном стаканчике, 93г",ЗОЛОТОЙ СТАНДАРТ,70.90,,https://online.metro-cc.ru/products/93g-morozhenoe-zolotoy-standart-chernika-vafst-bzmzh
Артикул: 218494,"Мороженое Коровка из Кореновки фисташка-малина, 200г",КОРОВКА ИЗ КОРЕНОВКИ,209,,https://online.metro-cc.ru/products/200g-morozhenoe-korovka-iz-korenovki-fistmalin-bzmzh
Артикул: 128435,"RIOBA Мороженое сливочное клубника со сливками, 75г",RIOBA,80.91,,https://online.metro-cc.ru/products/75g-slivochn-rioba-klubn-slivk-bzmzh
Артикул: 611683,"Мороженое Gelato Di Natura молочное йогурт, 1.575кг",GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-jogurt-kontejner-1575kg
Артикул: 113065,"Мороженое Oreo сливочное с кусочками печенья, 263г",OREO,469,,https://online.metro-cc.ru/products/morozhenoe-slivochnoe-oreo-s-kusochkami-pechenya-vederko-263g
